    0.000000 start
    4.338944 read initial snapshot
  702.742817 have memory trace of crashed thread
  702.745099 built rip trace
  702.745144 have proximal cause
  702.850745 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368856
  702.850928 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368856
  702.851859 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368853
  702.852034 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368853
  702.853386 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368850
  702.853559 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368850
  702.856167 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36887d
  702.856345 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36887d
  702.857328 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36887a
  702.857501 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36887a
  702.860707 built cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd01a
  702.860891 rendered cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd01a
  702.864889 built cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd018
  702.865066 rendered cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd018
  702.866041 built cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd012
  702.866212 rendered cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd012
  702.870592 built cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd00e
  702.870770 rendered cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd00e
  702.871520 built cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd009
  702.871693 rendered cmn for {7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3cd009
  702.874693 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c6
  702.874869 rendered cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c6
  702.881558 built cmn for {7f860d3cd009;7f860d36887a;7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3e97c4
